iter	Logloss
0	0.6646777665
1	0.638343124
2	0.6128856939
3	0.5895298779
4	0.5669825827
5	0.5481725954
6	0.5333011028
7	0.5170410263
8	0.5010570458
9	0.4874325089
10	0.4760260016
11	0.464870978
12	0.4545495592
13	0.4452987788
14	0.4363454909
15	0.4280495335
16	0.4216783583
17	0.4147959402
18	0.4090258816
19	0.4030641551
20	0.3985288745
21	0.3937376938
22	0.3886847815
23	0.3842172492
24	0.3808677792
25	0.3767566119
26	0.3732868671
27	0.3697107403
28	0.3668204154
29	0.3641792158
30	0.3614972386
31	0.358446676
32	0.3563651936
33	0.3543296343
34	0.3523968767
35	0.3504089771
36	0.3485959583
37	0.3466406464
38	0.3456453031
39	0.3443595422
40	0.3426852789
41	0.3409905838
42	0.3394413334
43	0.3385374503
44	0.3371132126
45	0.3362815158
46	0.3349583648
47	0.333660748
48	0.3327155512
49	0.3317569978
50	0.3306978295
51	0.3295550048
52	0.3287965663
53	0.3279711083
54	0.3269672321
55	0.3262756629
56	0.3255382778
57	0.3245077525
58	0.3239430185
59	0.3231462464
60	0.3225674482
61	0.3221074883
62	0.321509652
63	0.3205629974
64	0.320065047
65	0.3195471366
66	0.3187731116
67	0.3181633764
68	0.3176274355
69	0.3169829686
70	0.3164721117
71	0.3161258233
72	0.3156060905
73	0.3151029518
74	0.3145730139
75	0.314221923
76	0.3135823657
77	0.3130837507
78	0.3128381843
79	0.3121192157
80	0.3119233672
81	0.3115713545
82	0.3110403875
83	0.3107966863
84	0.3104748388
85	0.3101312946
86	0.3098401482
87	0.3093893
88	0.3088223793
89	0.3085505711
90	0.3082412442
91	0.3078537493
92	0.3076136286
93	0.3073398909
94	0.3070401902
95	0.3066008764
96	0.3060868251
97	0.3059360421
98	0.30571303
99	0.3054243277
100	0.3051091049
101	0.3047965405
102	0.3044141697
103	0.3042435982
104	0.303980323
105	0.3036798719
106	0.3033449463
107	0.303168136
108	0.3028868517
109	0.3025624957
110	0.3024018506
111	0.3021625446
112	0.3017817388
113	0.3015242522
114	0.3013615275
115	0.3011385368
116	0.300845075
117	0.3006916764
118	0.3004681497
119	0.3003223192
120	0.3001501398
121	0.2999964196
122	0.2996981982
123	0.2994999914
124	0.299351138
125	0.2990606348
126	0.298816998
127	0.2986754554
128	0.2984762195
129	0.2982338262
130	0.2980786267
131	0.2978426866
132	0.2976153866
133	0.2973719213
134	0.2970778163
135	0.2969454926
136	0.2967740635
137	0.2965834891
138	0.2964097875
139	0.2961950509
140	0.2960237291
141	0.2955728381
142	0.2954151731
143	0.2950169156
144	0.294892889
145	0.2947170005
146	0.2944890359
147	0.2943641946
148	0.2942022846
149	0.2940420897
150	0.2939810519
151	0.2937314121
152	0.2934976374
153	0.2934082138
154	0.2932207481
155	0.2930900539
156	0.2929761895
157	0.2928943126
158	0.292748525
159	0.292555678
160	0.2923568709
161	0.2922890582
162	0.2921364315
163	0.2920174431
164	0.2918626295
165	0.2917982257
166	0.291668732
167	0.2915710329
168	0.29146017
169	0.2913759562
170	0.2911832164
171	0.291075012
172	0.290985417
173	0.2909063701
174	0.29082668
175	0.2906508344
176	0.290525843
177	0.2903876878
178	0.2903038385
179	0.290250819
180	0.2901606022
181	0.2900425142
182	0.2898724359
183	0.2897159715
184	0.2896528326
185	0.2895897794
186	0.289516757
187	0.2894489658
188	0.2893054722
189	0.289224753
190	0.289128083
191	0.2890398815
192	0.2889534166
193	0.288854624
194	0.2887932003
195	0.2887386371
196	0.2886574249
197	0.2885910058
198	0.2884522074
199	0.2883539937
200	0.2882207267
201	0.2881200046
202	0.288079227
203	0.2880214479
204	0.2879770256
205	0.2878641688
206	0.2877000077
207	0.287649175
208	0.2875578434
209	0.2875114057
210	0.2874554061
211	0.287354341
212	0.2872441642
213	0.2872377324
214	0.287156906
215	0.2871003705
216	0.2869984692
217	0.2868517812
218	0.2867293625
219	0.2866061505
220	0.2865389382
221	0.2864224367
222	0.2863747342
223	0.286244683
224	0.286209351
225	0.2861267452
226	0.2860616339
227	0.285558731
228	0.2855337112
229	0.2854891817
230	0.2854271148
231	0.2853647048
232	0.2853313023
233	0.2852325312
234	0.285167913
235	0.2851167802
236	0.2849951118
237	0.2849577216
238	0.2846563057
239	0.2845355807
240	0.2844827113
241	0.2844333794
242	0.2844164851
243	0.2843919371
244	0.2843647949
245	0.284254468
246	0.2841914363
247	0.2841349865
248	0.2840305125
249	0.2839950518
250	0.2839176986
251	0.2839004185
252	0.2838084866
253	0.2837811514
254	0.2835651285
255	0.2835574103
256	0.2835210492
257	0.2834374142
258	0.283404076
259	0.2833106219
260	0.283277541
261	0.2832208339
262	0.283197465
263	0.2830858517
264	0.2829935982
265	0.282692118
266	0.2826328168
267	0.2825536198
268	0.2825123491
269	0.2824579789
270	0.2824432929
271	0.28242329
272	0.2824083253
273	0.2823691985
274	0.2822603509
275	0.2822256192
276	0.2821918736
277	0.2821339874
278	0.2819070304
279	0.2818579128
280	0.2818106605
281	0.2817966606
282	0.2817473501
283	0.2817235739
284	0.2816808238
285	0.2816716477
286	0.2816677458
287	0.2816064936
288	0.2815347789
289	0.2813715182
290	0.2811684661
291	0.2808470688
292	0.2807558658
293	0.280697122
294	0.2806352694
295	0.2805510986
296	0.2802647117
297	0.2802557715
298	0.2802481176
299	0.2801648686
300	0.2801512332
301	0.2801142503
302	0.2799588579
303	0.2799315656
304	0.2798408986
305	0.279751132
306	0.2797158857
307	0.2797042441
308	0.2796867067
309	0.2796405478
310	0.2796007135
311	0.2795640093
312	0.2795420769
313	0.2795390325
314	0.2794525247
315	0.2794276122
316	0.2793841117
317	0.2793765436
318	0.279344599
319	0.2793125686
320	0.2792693898
321	0.2792682106
322	0.2792107102
323	0.2790740129
324	0.2789344642
325	0.2789167553
326	0.2789109667
327	0.2788684524
328	0.2788442045
329	0.27883803
330	0.2788242874
331	0.278811338
332	0.2787640213
333	0.2787499786
334	0.2787230079
335	0.2787180768
336	0.2787134245
337	0.278642546
338	0.2785927424
339	0.2785765556
340	0.278530997
341	0.2785196985
342	0.2784343913
343	0.2784134879
344	0.2783826796
345	0.2783706307
346	0.2783003096
347	0.2782785272
348	0.2782400864
349	0.2782005308
350	0.278183315
351	0.2781825003
352	0.278165113
353	0.2781388498
354	0.2781075484
355	0.2780575947
356	0.2780551935
357	0.2780214908
358	0.2779787622
359	0.2778484109
360	0.2777466597
361	0.2777180168
362	0.2777157228
363	0.2777081118
364	0.2776002504
365	0.2775880085
366	0.2775428144
367	0.2775390839
368	0.2775242479
369	0.2774602514
370	0.2774558993
371	0.277385278
372	0.277329064
373	0.2773176154
374	0.2772849847
375	0.2772817903
376	0.2772450218
377	0.2772420632
378	0.277219659
379	0.2771159354
380	0.2771138773
381	0.2770217309
382	0.2770153634
383	0.2769930022
384	0.2767790589
385	0.2767421618
386	0.2767416901
387	0.2767054362
388	0.2766751424
389	0.276618714
390	0.2765528523
391	0.2765499365
392	0.2765028772
393	0.2765024269
394	0.276471297
395	0.2764217721
396	0.2764147829
397	0.276413325
398	0.2763225722
399	0.2763193992
400	0.2762744409
401	0.2762478132
402	0.2762463767
403	0.2762260951
404	0.2761704171
405	0.2761697954
406	0.276120099
407	0.276117419
408	0.2761147606
409	0.276062813
410	0.2760536155
411	0.2760455115
412	0.2760451041
413	0.2760423384
414	0.2760400873
415	0.275955166
416	0.2758915983
417	0.2758901833
418	0.2758877607
419	0.2758865172
420	0.2758230996
421	0.2758214702
422	0.2758182972
423	0.275774175
424	0.2757720311
425	0.2756626904
426	0.2756607823
427	0.2756587241
428	0.2756572233
429	0.2756413368
430	0.275640372
431	0.2756399647
432	0.2755236776
433	0.2755217266
434	0.2755207833
435	0.2755023883
436	0.2754992368
437	0.2754652339
438	0.2754346614
