iter	Passed	Remaining
0	48	48299
1	79	39869
2	111	36990
3	141	35355
4	174	34768
5	206	34197
6	238	33819
7	270	33504
8	301	33150
9	332	32871
10	363	32653
11	394	32451
12	426	32347
13	459	32335
14	492	32317
15	522	32161
16	555	32148
17	587	32063
18	618	31950
19	649	31845
20	681	31783
21	712	31684
22	744	31628
23	776	31558
24	807	31490
25	838	31412
26	870	31353
27	901	31311
28	933	31254
29	964	31184
30	995	31126
31	1026	31064
32	1057	30991
33	1088	30915
34	1119	30856
35	1149	30768
36	1179	30698
37	1211	30659
38	1241	30597
39	1273	30560
40	1304	30509
41	1336	30481
42	1367	30425
43	1397	30373
44	1428	30317
45	1459	30261
46	1490	30216
47	1520	30160
48	1551	30121
49	1583	30079
50	1615	30052
51	1645	29997
52	1677	29969
53	1707	29917
54	1739	29891
55	1770	29843
56	1802	29828
57	1834	29789
58	1864	29733
59	1895	29690
60	1926	29653
61	1957	29611
62	1988	29571
63	2018	29522
64	2049	29484
65	2080	29440
66	2110	29395
67	2141	29344
68	2171	29302
69	2202	29267
70	2233	29225
71	2264	29183
72	2294	29143
73	2326	29110
74	2358	29087
75	2388	29041
76	2419	29004
77	2451	28976
78	2481	28925
79	2512	28891
80	2543	28856
81	2573	28813
82	2604	28776
83	2635	28740
84	2667	28713
85	2697	28672
86	2729	28646
87	2759	28602
88	2790	28568
89	2821	28529
90	2854	28511
91	2888	28506
92	2922	28498
93	2955	28481
94	2990	28486
95	3028	28517
96	3067	28555
97	3105	28586
98	3145	28630
99	3186	28679
100	3229	28747
101	3279	28869
102	3326	28973
103	3368	29019
104	3408	29049
105	3451	29107
106	3496	29179
107	3540	29239
108	3588	29330
109	3630	29375
110	3672	29415
111	3716	29469
112	3760	29514
113	3795	29499
114	3829	29472
115	3864	29453
116	3899	29432
117	3934	29406
118	3969	29387
119	4004	29363
120	4039	29344
121	4076	29338
122	4113	29330
123	4148	29307
124	4181	29273
125	4216	29248
126	4251	29227
127	4286	29203
128	4322	29188
129	4358	29166
130	4394	29150
